Date,Start Date,Tenor,Swap Rate
2021-01-13,2022-01-13,10y,1.0813328677467247
2021-01-13,2022-01-13,15y,1.265959692751764
2021-01-13,2022-01-13,18M,0.22162534710989112
2021-01-13,2022-01-13,1y,0.1954740270731455
2021-01-13,2022-01-13,2y,0.2793699204390679
2021-01-13,2022-01-13,3y,0.4042843282223562
2021-01-13,2022-01-13,4y,0.5363407062825019
2021-01-13,2022-01-13,5y,0.6643955560846565
2021-01-13,2022-01-13,8y,0.9509745306473003
2021-01-13,2022-07-13,10y,1.1557570101064278
2021-01-13,2022-07-13,15y,1.3159685913745378
2021-01-13,2022-07-13,18M,0.31073841700956795
2021-01-13,2022-07-13,1y,0.24002465941756318
2021-01-13,2022-07-13,2y,0.3789416286207092
2021-01-13,2022-07-13,3y,0.5168296097439221
2021-01-13,2022-07-13,4y,0.6532496116838871
2021-01-13,2022-07-13,5y,0.775162663756323
2021-01-13,2022-07-13,8y,1.0380916889026477
2021-01-13,2023-01-13,10y,1.2306688213172219
2021-01-13,2023-01-13,15y,1.3663934530282416
2021-01-13,2023-01-13,18M,0.4364600251975759
2021-01-13,2023-01-13,1y,0.3626883633970879
2021-01-13,2023-01-13,2y,0.5090293355802893
2021-01-13,2023-01-13,3y,0.650651387486927
2021-01-13,2023-01-13,4y,0.7827657351756532
2021-01-13,2023-01-13,5y,0.8923599803799868
2021-01-13,2023-01-13,8y,1.1271235550369207
2021-01-13,2024-01-15,10y,1.3651341263335774
2021-01-13,2024-01-15,15y,1.456788083833875
2021-01-13,2024-01-15,18M,0.726273488495432
2021-01-13,2024-01-15,1y,0.6589012980235344
2021-01-13,2024-01-15,2y,0.7980604082561626
2021-01-13,2024-01-15,3y,0.9264641763083017
2021-01-13,2024-01-15,4y,1.0294403976620399
2021-01-13,2024-01-15,5y,1.1127589081733673
2021-01-13,2024-01-15,8y,1.291164385622575
2021-01-13,2025-01-13,10y,1.4679073046671327
2021-01-13,2025-01-13,15y,1.524978887597259
