Value Date,Trade Name,Trade Currency,Zero Rate Shock,TV,Expiry Bucket,Expiry Date,Tenor Bucket,Vega
02/09/2022,dummyTrade1,USD,-100,-227907.0988,1y,04/09/2023,10y,1.96224604
02/09/2022,dummyTrade1,USD,-50,-222208.401,1y,04/09/2023,10y,-3.81234111
02/09/2022,dummyTrade1,USD,-25,-218960.928,1y,04/09/2023,10y,4.47100553
02/09/2022,dummyTrade1,USD,-10,-216872.4301,1y,04/09/2023,10y,4.33339777
02/09/2022,dummyTrade1,USD,-5,-216146.3103,1y,04/09/2023,10y,5.67968676
02/09/2022,dummyTrade1,USD,0,-215402.6562,1y,04/09/2023,10y,5.01627375
02/09/2022,dummyTrade1,USD,5,-214640.4941,1y,04/09/2023,10y,3.45817162
02/09/2022,dummyTrade1,USD,10,-213858.4524,1y,04/09/2023,10y,3.13244424
02/09/2022,dummyTrade1,USD,25,-211345.8047,1y,04/09/2023,10y,12.18405757
02/09/2022,dummyTrade1,USD,50,-206384.346,1y,04/09/2023,10y,15.64840914
02/09/2022,dummyTrade1,USD,75,-199714.2936,1y,04/09/2023,10y,31.20987521
02/09/2022,dummyTrade1,USD,100,-189622.2591,1y,04/09/2023,10y,35.88340012
02/09/2022,dummyTrade10,USD,-100,-672928.6729,1y,04/09/2023,10y,-47.70751438
02/09/2022,dummyTrade10,USD,-50,-650078.9227,1y,04/09/2023,10y,-39.20069837
02/09/2022,dummyTrade10,USD,-25,-634657.4381,1y,04/09/2023,10y,-58.36095654
02/09/2022,dummyTrade10,USD,-10,-624022.6605,1y,04/09/2023,10y,-33.28313728
02/09/2022,dummyTrade10,USD,-5,-620231.3514,1y,04/09/2023,10y,-30.73627264
02/09/2022,dummyTrade10,USD,0,-616299.3692,1y,04/09/2023,10y,-59.82041376
02/09/2022,dummyTrade10,USD,5,-612233.3924,1y,04/09/2023,10y,-62.16599137
02/09/2022,dummyTrade10,USD,10,-608000.1809,1y,04/09/2023,10y,-75.09604483
02/09/2022,dummyTrade10,USD,25,-594209.3613,1y,04/09/2023,10y,-86.53799005
02/09/2022,dummyTrade10,USD,50,-567220.1964,1y,04/09/2023,10y,-133.5266903
02/09/2022,dummyTrade10,USD,75,-532894.9917,1y,04/09/2023,10y,-55.95678126
02/09/2022,dummyTrade10,USD,100,-487549.4308,1y,04/09/2023,10y,19.10982503
02/09/2022,dummyTrade11,USD,-100,-656205.6759,1y,04/09/2023,10y,10.01924527
02/09/2022,dummyTrade11,USD,-50,-638618.8708,1y,04/09/2023,10y,23.72984262
02/09/2022,dummyTrade11,USD,-25,-625046.6749,1y,04/09/2023,10y,17.49635877
02/09/2022,dummyTrade11,USD,-10,-615560.882,1y,04/09/2023,10y,12.35517165
02/09/2022,dummyTrade11,USD,-5,-612195.2539,1y,04/09/2023,10y,6.36931489
02/09/2022,dummyTrade11,USD,0,-608678.011,1y,04/09/2023,10y,7.76259506
02/09/2022,dummyTrade11,USD,5,-605011.4122,1y,04/09/2023,10y,19.61119233
02/09/2022,dummyTrade11,USD,10,-601217.9259,1y,04/09/2023,10y,18.88622914
02/09/2022,dummyTrade11,USD,25,-588957.1544,1y,04/09/2023,10y,1.51014056
02/09/2022,dummyTrade11,USD,50,-564839.0675,1y,04/09/2023,10y,-14.61950938
02/09/2022,dummyTrade11,USD,75,-534769.3519,1y,04/09/2023,10y,-51.56909593
02/09/2022,dummyTrade11,USD,100,-495925.008,1y,04/09/2023,10y,-51.38951263
02/09/2022,dummyTrade12,USD,-100,-656693.4699,1y,04/09/2023,10y,11.52814197
02/09/2022,dummyTrade12,USD,-50,-639220.4691,1y,04/09/2023,10y,19.61576117
02/09/2022,dummyTrade12,USD,-25,-625704.7231,1y,04/09/2023,10y,13.24077592
02/09/2022,dummyTrade12,USD,-10,-616280.6867,1y,04/09/2023,10y,14.4291107
02/09/2022,dummyTrade12,USD,-5,-612895.6644,1y,04/09/2023,10y,17.84056325
02/09/2022,dummyTrade12,USD,0,-609360.6624,1y,04/09/2023,10y,25.32977891
02/09/2022,dummyTrade12,USD,5,-605697.9146,1y,04/09/2023,10y,10.29489817
02/09/2022,dummyTrade12,USD,10,-601903.9338,1y,04/09/2023,10y,15.06735711
02/09/2022,dummyTrade12,USD,25,-589625.7192,1y,04/09/2023,10y,18.75271229
02/09/2022,dummyTrade12,USD,50,-565587.1948,1y,04/09/2023,10y,-22.87322669
02/09/2022,dummyTrade12,USD,75,-535514.5526,1y,04/09/2023,10y,-29.86974173
02/09/2022,dummyTrade12,USD,100,-496774.34,1y,04/09/2023,10y,-58.35363521
02/09/2022,dummyTrade2,USD,-100,-228174.0202,1y,04/09/2023,10y,2.6256523
02/09/2022,dummyTrade2,USD,-50,-222566.5913,1y,04/09/2023,10y,-4.74055618
02/09/2022,dummyTrade2,USD,-25,-219360.3687,1y,04/09/2023,10y,2.60569186
02/09/2022,dummyTrade2,USD,-10,-217288.0377,1y,04/09/2023,10y,5.42844695
02/09/2022,dummyTrade2,USD,-5,-216570.262,1y,04/09/2023,10y,5.93798225
02/09/2022,dummyTrade2,USD,0,-215836.7872,1y,04/09/2023,10y,5.40938434
02/09/2022,dummyTrade2,USD,5,-215084.8514,1y,04/09/2023,10y,2.19447278
